true_label,prob,pred,inference_time_ms
0,0.983858,1,0.0006
0,0.989437,1,0.0006
0,0.992046,1,0.0006
0,0.979554,1,0.0006
0,0.986895,1,0.0006
0,0.990573,1,0.0006
0,0.98556,1,0.0006
0,0.978263,1,0.0006
0,0.993243,1,0.0006
0,0.994515,1,0.0006
0,0.988749,1,0.0006
1,0.992018,1,0.0006
1,0.992808,1,0.0006
0,0.99081,1,0.0006
0,0.984837,1,0.0006
0,0.993021,1,0.0006
0,0.996009,1,0.0006
0,0.994447,1,0.0006
0,0.983257,1,0.0006
0,0.97292,1,0.0006
0,0.968318,1,0.0006
0,0.967084,1,0.0006
0,0.991647,1,0.0006
0,0.991281,1,0.0006
0,0.939013,1,0.0006
0,0.904211,1,0.0006
0,0.890364,1,0.0006
0,0.879255,1,0.0006
0,0.948965,1,0.0006
0,0.985321,1,0.0006
0,0.989267,1,0.0006
0,0.913286,1,0.0006
0,0.969604,1,0.0006
0,0.967141,1,0.0006
0,0.793212,1,0.0006
0,0.62397,1,0.0006
0,0.909922,1,0.0006
0,0.815972,1,0.0006
1,0.082172,0,0.0006
1,0.303273,0,0.0006
1,0.204461,0,0.0006
1,0.187615,0,0.0006
1,0.724569,1,0.0006
1,0.943615,1,0.0006
1,0.917993,1,0.0006
1,0.729906,1,0.0006
1,0.745985,1,0.0006
1,0.624081,1,0.0006
1,0.024422,0,0.0006
1,0.05415,0,0.0006
1,0.759775,1,0.0006
1,0.532848,1,0.0006
0,0.071239,0,0.0006
0,0.063463,0,0.0006
0,0.478251,0,0.0006
0,0.056168,0,0.0006
0,0.182052,0,0.0006
0,0.452001,0,0.0006
0,0.930876,1,0.0006
0,0.849618,1,0.0006
0,0.869164,1,0.0006
0,0.896047,1,0.0006
0,0.936601,1,0.0006
0,0.925976,1,0.0006
0,0.966944,1,0.0006
0,0.971846,1,0.0006
0,0.953399,1,0.0006
0,0.913762,1,0.0006
0,0.936994,1,0.0006
0,0.923726,1,0.0006
0,0.899403,1,0.0006
0,0.955441,1,0.0006
0,0.964579,1,0.0006
1,0.966209,1,0.0006
1,0.911568,1,0.0006
1,0.910101,1,0.0007
1,0.939799,1,0.0006
1,0.93275,1,0.0006
1,0.964239,1,0.0006
1,0.96791,1,0.0006
1,0.96582,1,0.0006
1,0.926524,1,0.0006
1,0.942451,1,0.0006
1,0.949659,1,0.0006
1,0.911363,1,0.0006
1,0.948544,1,0.0006
1,0.932608,1,0.0006
1,0.296037,0,0.0006
0,0.00367,0,0.0006
0,0.002034,0,0.0006
0,0.008939,0,0.0006
0,0.029148,0,0.0006
0,0.03813,0,0.0006
0,0.320723,0,0.0006
0,0.411344,0,0.0006
0,0.479834,0,0.0006
0,0.628169,1,0.0006
0,0.647468,1,0.0006
0,0.534791,1,0.0006
0,0.805397,1,0.0006
0,0.883601,1,0.0006
0,0.671292,1,0.0006
0,0.614992,1,0.0006
0,0.467012,0,0.0006
0,0.289639,0,0.0006
0,0.240628,0,0.0006
0,0.512012,1,0.0006
0,0.505627,1,0.0006
0,0.495574,0,0.0006
0,0.574905,1,0.0006
0,0.547884,1,0.0006
0,0.627654,1,0.0006
0,0.401302,0,0.0006
0,0.719061,1,0.0006
0,0.784573,1,0.0006
0,0.329328,0,0.0006
0,0.257313,0,0.0006
0,0.202862,0,0.0007
0,0.53218,1,0.0006
0,0.434308,0,0.0006
0,0.580865,1,0.0006
0,0.812724,1,0.0006
0,0.626871,1,0.0007
0,0.586423,1,0.0006
0,0.78623,1,0.0006
0,0.591665,1,0.0006
0,0.632195,1,0.0006
0,0.74832,1,0.0006
